ac_no,ac_name,candidate,party,total_votes,source
36,Itahar,TUFAN BARMAN,OTHER,189.0,ECI
36,Itahar,DILIP KUMAR BARMAN,OTHER,133.0,ECI
37,Kushmandi,REKHA ROY,TMC,89968.0,ECI
37,Kushmandi,RANJIT KUMAR ROY,BJP,77384.0,ECI
37,Kushmandi,NARMADA CHANDRA ROY,OTHER,12571.0,ECI
37,Kushmandi,NOTA,OTHER,1598.0,ECI
37,Kushmandi,BISWANATH SARKAR,OTHER,1436.0,ECI
37,Kushmandi,BHIMNAL SARKAR,OTHER,1118.0,ECI
38,Kumarganj,TORAF HOSSAIN MANDAL,TMC,89763.0,ECI
38,Kumarganj,Manas Sarkar,BJP,60396.0,ECI
38,Kumarganj,CHAUDHURI NARGIS BANU,INC,17478.0,ECI
38,Kumarganj,RANAJIT DEB,OTHER,1215.0,ECI
38,Kumarganj,NOTA,OTHER,1125.0,ECI
38,Kumarganj,RUBEL SARKAR,OTHER,951.0,ECI
39,Balurghat,Ashok Kumar Lahiri,BJP,72129.0,ECI
39,Balurghat,Sekhar Dasgupta,TMC,58693.0,ECI
39,Balurghat,Sucheta Biswas,OTHER,16153.0,ECI
39,Balurghat,NOTA,OTHER,1830.0,ECI
39,Balurghat,Jogesh Chandra Murmu,OTHER,1141.0,ECI
39,Balurghat,Narottam Saha,OTHER,810.0,ECI
39,Balurghat,BIRENDRA NATH MAHANTA,OTHER,604.0,ECI
39,Balurghat,Dulal Barman,OTHER,379.0,ECI
39,Balurghat,Anup Barman,OTHER,353.0,ECI
40,Tapan,BUDHRAI TUDU,BJP,84381.0,ECI
40,Tapan,KALPANA KISKU,TMC,82731.0,ECI
40,Tapan,RAGHU UROW,OTHER,12088.0,ECI
40,Tapan,BABLU KISKU,OTHER,2146.0,ECI
40,Tapan,NOTA,OTHER,1703.0,ECI
40,Tapan,ALBINUS HASDA,OTHER,1315.0,ECI
40,Tapan,NIPESH TIRKI,OTHER,1125.0,ECI
40,Tapan,KALICHARAN EKKA,OTHER,820.0,ECI
41,Gangarampur,SATYENDRA NATH RAY,BJP,88724.0,ECI
41,Gangarampur,GOUTAM DAS,TMC,84132.0,ECI
41,Gangarampur,NANDA LAL HAZRA,CPM,12273.0,ECI
41,Gangarampur,ARUN KANTI BALA,OTHER,1169.0,ECI
41,Gangarampur,NOTA,OTHER,1149.0,ECI
41,Gangarampur,AKSHAY SARKAR,OTHER,1145.0,ECI
41,Gangarampur,SUBRATA ROY,CPM,890.0,ECI
42,Harirampur,BIPLAB MITRA,TMC,96131.0,ECI
42,Harirampur,NILANJAN ROY,BJP,73459.0,ECI
42,Harirampur,RAFIKUL ISLAM,CPM,12444.0,ECI
42,Harirampur,BIJAN CHAKRABORTY,OTHER,1831.0,ECI
42,Harirampur,NOTA,OTHER,1823.0,ECI
42,Harirampur,PRADIP KUMAR PRAMANIK,OTHER,772.0,ECI
42,Harirampur,SHANKAR MARDI,OTHER,571.0,ECI
42,Harirampur,JALALUDDIN AHMED,OTHER,333.0,ECI
42,Harirampur,HARISH MAHATO,OTHER,278.0,ECI
43,Habibpur,JOYEL MURMU,BJP,94075.0,ECI
43,Habibpur,PRODIP BASKEY,TMC,74558.0,ECI
43,Habibpur,THAKUR TUDU,CPM,13805.0,ECI
43,Habibpur,BABURAM KISKU,OTHER,5896.0,ECI
43,Habibpur,NOTA,OTHER,2162.0,ECI
43,Habibpur,PRATAP KORAMUDI,OTHER,1887.0,ECI
43,Habibpur,PROVAT KISKU,OTHER,1701.0,ECI
43,Habibpur,SHRINATH TUDU,OTHER,1667.0,ECI
43,Habibpur,MURMU JOY,OTHER,830.0,ECI
43,Habibpur,BISWANATH MARDI,OTHER,747.0,ECI
43,Habibpur,NIRMAL SOREN,OTHER,661.0,ECI
44,Gazole,CHINMOY DEB BARMAN,BJP,100655.0,ECI
44,Gazole,BASANTI BARMAN,TMC,98857.0,ECI
44,Gazole,ARUN KUMAR BISWAS,CPM,13950.0,ECI
44,Gazole,SANATAN RISHI,OTHER,1943.0,ECI
44,Gazole,NOTA,OTHER,1736.0,ECI
44,Gazole,SUPEN KUMAR ROY,OTHER,1381.0,ECI
44,Gazole,SATISH RAJBANSHI,OTHER,1127.0,ECI
44,Gazole,BIPAD BHANJAN ROY,OTHER,824.0,ECI
44,Gazole,Minu Sarkar (Barman),OTHER,741.0,ECI
45,Chanchal,Nihar Ranjan Ghosh,TMC,115966.0,ECI
45,Chanchal,Dipankar Ram (Bankat),BJP,48628.0,ECI
45,Chanchal,Asif Mehbub,INC,31346.0,ECI
45,Chanchal,Jhantu Kumar Rabidas,OTHER,1214.0,ECI
45,Chanchal,Younish Mia,OTHER,1050.0,ECI
45,Chanchal,NOTA,OTHER,1023.0,ECI
45,Chanchal,Bhakta Prasad Saha,OTHER,452.0,ECI
46,Harischandrapur,TAJMUL HOSSAIN,TMC,122527.0,ECI
46,Harischandrapur,MD. MATIBUR RAHAMAN,BJP,45054.0,ECI
46,Harischandrapur,ALAM MOSTAQUE,INC,29396.0,ECI
46,Harischandrapur,MD OLIUR RAHAMAN,OTHER,1473.0,ECI
46,Harischandrapur,RAM BILAS MANDAL,OTHER,1305.0,ECI
46,Harischandrapur,ALAM MD RAFIQUL,OTHER,1285.0,ECI
46,Harischandrapur,NOTA,OTHER,1012.0,ECI
46,Harischandrapur,MUSARAF HOSSAIN,OTHER,629.0,ECI
46,Harischandrapur,SUBRATA DAS,OTHER,472.0,ECI
47,Malatipur,ABDUR RAHIM BOXI,TMC,126157.0,ECI
47,Malatipur,MOUSUMI DAS,BJP,34208.0,ECI
47,Malatipur,ALBERUNI ZULKARNAIN,INC,19827.0,ECI
47,Malatipur,NOTA,OTHER,2034.0,ECI
47,Malatipur,MOTIUR RAHAMAN,OTHER,1643.0,ECI
